Presenter,Presentation Name
Bartholomew Finch,"""The Turing Test: A Logical Labyrinth"""
Seraphina Bellweather,“Quantum Entanglement & the Ministry of Silly Walks”
Jasper Blackwood,"""ISO 9001: Achieving Perfection (Or Not)"""
Genevieve Moreau,"""The Edinburgh Fringe Festival - A Review"""
Silas Thorne,"""Fish-Slapping: An Anatomical Examination"""
Cordelia Vance,“Certified Scrum Master – Delivering Chaos”
Alistair Croft,“The Annual Tech Conference - A Snake’s Perspective”
Beatrix Sterling,“Monty Python's 'Life of Brian': A Theological Debate”
Percival Hawthorne,"""Project Management Fundamentals: Mostly Just Walking"""
Willow Brook,“The Rio Carnival – Samba & Statistical Analysis”
Zephyr Stone,“Monty Python’s ‘Holy Grail’: A Critical Analysis”
Octavia Reed,“Six Sigma Green Belt - Eliminating the Unnecessary”
Reginald Davies,"""Monty Python's 'Four Yorkshiremen': A Linguistic Study"""
Isolde Klein,“The Davos World Economic Forum – A Crowded Room”
